lambda_micron,f_nu_mJy_z0.05_m10.0,f_nu_mJy_z0.05_m10.5,f_nu_mJy_z0.05_m11.0,f_nu_mJy_z0.1_m10.0,f_nu_mJy_z0.1_m10.5,f_nu_mJy_z0.1_m11.0,f_nu_mJy_z0.15_m10.0,f_nu_mJy_z0.15_m10.5,f_nu_mJy_z0.15_m11.0,f_nu_mJy_z0.2_m10.0,f_nu_mJy_z0.2_m10.5,f_nu_mJy_z0.2_m11.0
0.7925425425425425,1.1687559493186839,3.762652413775381,8.235940635229781,0.3446978638469109,0.73942186846475,1.5846395960650574,0.2618895446173599,0.36427751843993417,0.6904310077253278,0.25814523223837116,0.3062934915693887,0.3462097484642701
0.7967967967967968,1.173467401528675,3.7439806683677626,8.505548836973787,0.3598647202787365,0.7882248036480682,1.6963618892068792,0.26302422088183824,0.36740309793312553,0.6982695262035843,0.2425126631043125,0.32095936430469096,0.35116447603880485
0.801051051051051,1.1689048037867944,3.7299282803377762,8.17372048039738,0.35905694420286793,0.797679969537481,1.7091826670405381,0.2655685210263202,0.3728392702352915,0.7036151272658133,0.24750712706189448,0.30208931247992954,0.3477338887819167
0.8053053053053053,1.1494806568277303,3.685407580257447,7.8411255155546336,0.3709659142708892,0.8171168699823117,1.7595067286990618,0.26564066089355354,0.37648445582118795,0.7134506265824079,0.2553168455925442,0.3001716440458824,0.35076664498132704
0.8095595595595596,1.14684973630952,3.6457429224376714,7.640841977500694,0.3753410460777469,0.8495325716290472,1.8408756059582845,0.26685555790239573,0.38216303180523714,0.7283394520141047,0.25349423911733854,0.3132232312343096,0.3468664071507581
0.8138138138138138,1.1571581596795442,3.699868060596886,7.809084123739634,0.37388517782289477,0.860904903612138,1.8770768977833057,0.26514735374473697,0.37587601161083994,0.7175483604035714,0.255033174538128,0.31612867405872347,0.35008979884604463
0.8180680680680681,1.1615998368515081,3.732555717872148,8.00529331578361,0.3759971813216179,0.8935197944539487,1.9165666660246008,0.26341940126544616,0.36955811451334963,0.7060951431015051,0.2554108332053125,0.31810234622702094,0.3640732881044721
0.8223223223223224,1.185848830639661,3.7804502057784504,8.049969845337868,0.38626917983179615,0.8878183131024716,1.9782516243814086,0.26089736139924957,0.36848988524477044,0.7036989432561137,0.2548828136498998,0.3192408969797558,0.3657464016912607
0.8265765765765766,1.1784163143966073,3.818425483644047,8.08008341825122,0.3915238786704933,0.9079100931870614,2.0159183437674995,0.2585721484430572,0.36884860744008086,0.6919885125338663,0.26228018022988697,0.3179953798923254,0.3648662703535118
0.8308308308308309,1.1680136519879367,3.777841467445029,8.061266225159665,0.39642830035953897,0.932589913797524,2.0864474095624965,0.26929090238375575,0.3814099380087222,0.722592435990181,0.2643513141544951,0.32349087922896785,0.37371702369124643
0.835085085085085,1.1703066242365088,3.7592185607236193,8.164986970575978,0.3909457415830311,0.928599320710249,2.098404754372888,0.2720850700914431,0.38954078570082135,0.7386207113024066,0.2657381885664938,0.32799479442396406,0.38431190312148283
0.8393393393393394,1.2049618256432388,3.839205674221808,8.391371315607284,0.38991709546939723,0.9070071517152334,2.0276479326799883,0.27260218463980435,0.39015555076668573,0.7458192696144395,0.2680589181637016,0.32757249180001696,0.38229544740195887
0.8435935935935936,1.2281796705657366,3.935734096128975,8.675758916738229,0.3880505973261277,0.8883488882609067,1.938488144069843,0.27929418744928197,0.4030519071508163,0.776066299527811,0.26752835155863486,0.3307517367933912,0.3922379062756358
0.8478478478478478,1.2282838293504033,3.9326214811046993,8.826698599517357,0.3877934804902916,0.8937617068467247,1.9394069902893654,0.27956456585113254,0.41402786021939963,0.7888469565566881,0.2637931405668722,0.32784626702384334,0.3851466722172141
0.8521021021021021,1.230652028927594,3.9522569202655125,9.033305387671401,0.39094632136287377,0.8901703607921561,1.9268363980105208,0.2800217452278613,0.4151110724129674,0.7854906700885939,0.26057548658214635,0.32647580402132315,0.37480153873075617
0.8563563563563563,1.2666823016879296,4.096251425042018,9.187069067058061,0.3943839306761371,0.9011591235896683,1.9595187849212088,0.28659445819694673,0.42344182067558206,0.809086415210521,0.2550051191022086,0.3259309079689614,0.3779078834076811
0.8606106106106106,1.2616221427985503,4.066649165471636,9.261958849587634,0.3964009375312979,0.9177907930574941,1.9744863040430662,0.28684221670088533,0.43066181108432344,0.8162780618515781,0.2583857782705988,0.3280561551915464,0.38144691085075844
0.8648648648648649,1.2665930924795339,4.086308952296227,9.112126463433324,0.39717466755746555,0.9222297808216379,2.013956855562158,0.2887069181753561,0.43620298915627964,0.8294097337675624,0.2647889044372964,0.32601051719549995,0.374604507701086
0.8691191191191191,1.282062903099109,4.129893259661879,9.381338786730158,0.39719814151779154,0.9236924073429424,2.0172927034171866,0.2912473739718906,0.44683583251055803,0.8460295798325789,0.2654013469878246,0.33670020240375875,0.3923218924867797
0.8733733733733734,1.272832407374355,4.084983959000354,9.381232684798828,0.39511110506545055,0.9079604650278856,1.9746260846280164,0.2887040591171893,0.44242527051187286,0.836130289955157,0.2722943411977041,0.33827720737792033,0.4035134511198276
0.8776276276276276,1.2694008620878126,4.079281017598305,9.310307157199732,0.3964460163196725,0.9329212149165013,2.038645762818241,0.2918895651312069,0.435567278111026,0.831185986558519,0.28096673162688496,0.3421539298996148,0.40858516631139696
0.8818818818818819,1.275478656448263,4.116544549105944,9.346599042600175,0.4055293065158422,0.9553289944259129,2.1119654444833937,0.2845222586103995,0.4115288049617051,0.8022306502433422,0.2844999946409739,0.3527784728285891,0.4315295321505567
0.8861361361361362,1.2779429317655364,4.144341463597135,9.04634340186227,0.4159702592502286,0.9691022783610801,2.1249387608162476,0.2850233545932188,0.41745892808497914,0.8062432537210812,0.29259694561311345,0.35375795841321267,0.43233857834045064
0.8903903903903904,1.267533897966798,4.110427343176259,8.869670595470286,0.40771694480477416,0.9729197094216886,2.1683120583099136,0.2860131934323698,0.4327059188462223,0.8212200640867313,0.28764065269427225,0.3578657354432279,0.43857524472030823
0.8946446446446447,1.2722525430905423,4.1322228440560735,8.852144965152844,0.4168113466457739,0.9958083628998148,2.219395747385918,0.2901475304927176,0.42905270095456827,0.8185494776741258,0.29399982688131565,0.36201432737521866,0.45730491367439063
0.8988988988988988,1.2055799337451782,4.096299043497901,8.891821745379351,0.41200513438192765,1.0100819622232802,2.32971951439643,0.29513910581118885,0.4417987078660799,0.839778613184007,0.3008148984375289,0.36404062468887766,0.45623472501256
0.9031531531531531,1.3095756595407546,4.219709003021894,9.081601296932245,0.4118552855095605,0.9862351814918227,2.30447597398228,0.29625334521277824,0.4447344325136975,0.8468824458830593,0.30553361616985125,0.37103422494732824,0.4576855294645399
0.9074074074074074,1.3496086870198516,4.167467459084411,9.606913970409627,0.4187166096852668,1.014414373290108,2.2982063860412705,0.29123253490521467,0.44066459441234374,0.8472761662357172,0.3049085778228259,0.3738019535365964,0.4638729595543715
0.9116616616616617,1.182754408393442,4.122782347873827,9.27124809466071,0.4284508305818447,1.007416811050585,2.33172874139741,0.2880276505867233,0.4393658625231344,0.8335343104472559,0.30382491542437007,0.3724326975389602,0.4590432981384931
0.9159159159159159,1.3702367448284658,4.493255964274945,9.20672967911169,0.42100155857096455,1.0018403399395686,2.2755350190039665,0.2915866223096465,0.4476037906668564,0.8510369278218044,0.2976470019995363,0.37109367723418213,0.46636424254280073
0.9201701701701702,1.357445492021922,4.3155207600589085,10.160845375435375,0.42344679218270087,1.0148698820689699,2.2694637604633554,0.2980441272777228,0.4591033816529403,0.8679748302307358,0.29330740829923757,0.36562265415381867,0.4316645752354416
0.9244244244244244,1.3985781825468626,4.607896397449418,9.969716304377986,0.42149941041554295,1.0021953334369111,2.2714305213078374,0.3022783540553686,0.4595469058367573,0.8874665552537269,0.2950212193683278,0.3675263352720492,0.44901563111180703
0.9286786786786787,1.378359554188263,4.583160827452742,10.503334872361986,0.4250840326140912,1.0075973237189022,2.2377608518801613,0.3004055806716551,0.46652507030436613,0.8885961200189472,0.2935564693600771,0.37073967209625447,0.4532112291932249
0.932932932932933,1.3551626178666336,4.422538742163036,10.144416301941071,0.4254268810655787,0.9787291429691597,2.2039589964709028,0.3028478230011214,0.4707635851857484,0.8956328109788315,0.29797890741991867,0.36997856393017614,0.4535162758232915
0.9371871871871872,1.4110628416598847,4.576051804205735,10.16483026232584,0.4231170172546843,0.9949252849345318,2.1428933297135084,0.30337239693707907,0.4834384828393739,0.914396880636593,0.30419514080537796,0.3748070235830946,0.46311745932730847
0.9414414414414415,1.4170296877791988,4.640842044024811,10.217756749918639,0.4230102070698114,0.9240448766221432,2.1894968508847734,0.3017252511773051,0.4713907003324894,0.9219850174627169,0.30430373648263853,0.38041715613714133,0.4693018590238169
0.9456956956956957,1.3357902640400865,4.578610876709403,9.649934075265872,0.4356471063389986,1.0376823465351188,2.3000114106844136,0.30602067382231923,0.4809198297046902,0.9066420845497312,0.30245175813230607,0.3777433695870538,0.47321934793631093
0.94994994994995,1.4218031930347728,4.66558488061764,10.087436988647049,0.43737080993714067,1.063212540426052,2.3415472071708194,0.31534917597888446,0.4899060717218584,0.942906986081022,0.30024427320657154,0.3742616873518161,0.4599338071977375
0.9542042042042043,1.4444924493508442,4.791248744871002,10.85044930909563,0.4234583430908015,0.9385623365217917,2.3488781695940633,0.3083819258823235,0.4848799645878348,0.9226008667770466,0.30467545293849707,0.3774773172959379,0.46331143996240476
